Number_of_Subscribers,Channel2,Watch_date,Day_name,Month_name,Gender,Race,Province,Time_Bucket,Age_buckets,total_duration_hhmm
1,Supersport Live Events,2016-02-02,Tue,February,male,black,North West,Night,Young Adult 19-30,00:08
1,Channel O,2016-03-25,Fri,March,None,None,None,Night,Infant,00:03
2,Boomerang,2016-03-31,Thu,March,male,coloured,Western Cape,Night,Adult 31-64,00:01
1,Supersport Live Events,2016-01-21,Thu,January,male,white,Gauteng,Night,Adult 31-64,00:07
1,Supersport Live Events,2016-03-08,Tue,March,male,None,Mpumalanga,Night,Adult 31-64,00:01
1,Boomerang,2016-01-03,Sun,January,male,black,Northern Cape,Night,Young Adult 19-30,00:01
1,Cartoon Network,2016-03-10,Thu,March,male,coloured,Western Cape,Night,Young Adult 19-30,00:02
1,Channel O,2016-03-12,Sat,March,male,black,Eastern Cape,Night,Young Adult 19-30,00:27
1,Supersport Live Events,2016-03-13,Sun,March,male,coloured,Gauteng,Night,Adult 31-64,00:21
1,Trace TV,2016-01-14,Thu,January,female,black,Mpumalanga,Morning 5-11am,Youth 13-18,03:14
2,ICC Cricket World Cup 2011,2016-03-18,Fri,March,male,indian_asian,Gauteng,Night,Adult 31-64,00:35
1,M-Net,2016-01-31,Sun,January,male,black,Free State,Night,Adult 31-64,00:00
1,Channel O,2016-01-06,Wed,January,female,coloured,Gauteng,Night,Young Adult 19-30,00:02
1,Africa Magic,2016-01-30,Sat,January,female,coloured,Kwazulu Natal,Night,Youth 13-18,00:00
2,CNN,2016-03-18,Fri,March,male,black,Gauteng,Night,Adult 31-64,00:17
1,Supersport Live Events,2016-01-27,Wed,January,male,coloured,Western Cape,Night,Adult 31-64,00:31
1,Boomerang,2016-03-26,Sat,March,male,indian_asian,Limpopo,Night,Adult 31-64,00:00
1,SuperSport Blitz,2016-03-03,Thu,March,male,black,Gauteng,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-03-06,Sun,March,male,coloured,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,MK,2016-01-03,Sun,January,female,white,Kwazulu Natal,Night,Young Adult 19-30,00:02
1,Cartoon Network,2016-03-23,Wed,March,male,black,North West,Night,Young Adult 19-30,00:36
1,SuperSport Blitz,2016-03-12,Sat,March,male,None,North West,Night,Adult 31-64,00:05
1,Channel O,2016-03-31,Thu,March,male,indian_asian,North West,Night,Young Adult 19-30,00:04
1,E! Entertainment,2016-03-19,Sat,March,male,black,Gauteng,Night,Young Adult 19-30,00:01
1,Africa Magic,2016-03-26,Sat,March,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:00
3,Channel O,2016-03-14,Mon,March,male,black,Gauteng,Night,Adult 31-64,00:11
1,Africa Magic,2016-03-11,Fri,March,male,black,Limpopo,Night,Young Adult 19-30,00:00
1,Supersport Live Events,2016-03-04,Fri,March,male,coloured,Western Cape,Night,Youth 13-18,00:00
1,SuperSport Blitz,2016-03-22,Tue,March,male,None,Eastern Cape,Night,Adult 31-64,00:11
1,ICC Cricket World Cup 2011,2016-03-06,Sun,March,male,black,Eastern Cape,Night,Adult 31-64,00:31
1,E! Entertainment,2016-01-01,Fri,January,male,None,Mpumalanga,Night,Adult 31-64,00:00
1,ICC Cricket World Cup 2011,2016-03-25,Fri,March,male,white,Free State,Night,Adult 31-64,00:48
1,E! Entertainment,2016-03-13,Sun,March,female,None,Western Cape,Night,Adult 31-64,00:32
1,Trace TV,2016-02-12,Fri,February,female,indian_asian,Western Cape,Night,Adult 31-64,00:02
1,Channel O,2016-02-15,Mon,February,male,black,Free State,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-03-20,Sun,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:00
1,Boomerang,2016-02-08,Mon,February,male,white,North West,Night,Adult 31-64,00:19
1,Channel O,2016-03-25,Fri,March,male,indian_asian,Gauteng,Night,Youth 13-18,00:02
1,ICC Cricket World Cup 2011,2016-03-05,Sat,March,male,black,North West,Night,Adult 31-64,00:00
2,Trace TV,2016-01-10,Sun,January,male,None,Western Cape,Night,Young Adult 19-30,00:40
1,Cartoon Network,2016-03-09,Wed,March,male,black,Limpopo,Night,Young Adult 19-30,00:15
1,Supersport Live Events,2016-01-10,Sun,January,male,black,Gauteng,Night,Adult 31-64,00:00
1,Boomerang,2016-03-01,Tue,March,male,black,Gauteng,Night,Youth 13-18,00:00
1,Channel O,2016-01-28,Thu,January,male,black,Northern Cape,Night,Young Adult 19-30,00:01
6,CNN,2016-03-28,Mon,March,male,black,Gauteng,Night,Adult 31-64,00:44
1,CNN,2016-01-14,Thu,January,male,black,Gauteng,Night,Adult 31-64,00:04
2,Channel O,2016-03-13,Sun,March,male,black,Gauteng,Night,Young Adult 19-30,01:14
2,Cartoon Network,2016-03-10,Thu,March,male,white,Gauteng,Night,Young Adult 19-30,00:03
1,ICC Cricket World Cup 2011,2016-03-12,Sat,March,male,black,Free State,Night,Young Adult 19-30,00:09
1,Cartoon Network,2016-01-22,Fri,January,male,black,Gauteng,Night,Adult 31-64,00:00
3,Supersport Live Events,2016-01-30,Sat,January,male,black,Gauteng,Night,Adult 31-64,00:01
1,kykNET,2016-01-31,Sun,January,female,white,Western Cape,Night,ELDER +65,00:00
2,Boomerang,2016-02-22,Mon,February,male,coloured,Western Cape,Night,Adult 31-64,00:01
1,Trace TV,2016-01-02,Sat,January,male,white,Eastern Cape,Night,Young Adult 19-30,00:13
1,Africa Magic,2016-01-14,Thu,January,male,coloured,Gauteng,Night,Young Adult 19-30,00:09
1,Africa Magic,2016-02-23,Tue,February,male,black,Limpopo,Night,Adult 31-64,00:12
1,Trace TV,2016-01-03,Sun,January,male,black,Free State,Night,Adult 31-64,00:23
1,Supersport Live Events,2016-02-01,Mon,February,male,indian_asian,Western Cape,Night,Young Adult 19-30,00:09
3,ICC Cricket World Cup 2011,2016-03-25,Fri,March,male,None,Western Cape,Night,Adult 31-64,00:44
1,Supersport Live Events,2016-01-24,Sun,January,male,coloured,Gauteng,Night,Young Adult 19-30,00:04
1,Trace TV,2016-02-12,Fri,February,male,coloured,Western Cape,Night,Young Adult 19-30,00:00
1,Trace TV,2016-03-13,Sun,March,male,None,Gauteng,Night,Adult 31-64,00:29
1,Supersport Live Events,2016-02-20,Sat,February,male,black,Free State,Night,Youth 13-18,00:02
2,Channel O,2016-03-22,Tue,March,male,black,Gauteng,Night,Young Adult 19-30,00:09
1,Cartoon Network,2016-01-21,Thu,January,None,None,None,Night,Infant,00:05
1,Supersport Live Events,2016-03-03,Thu,March,female,coloured,Western Cape,Night,Adult 31-64,00:00
1,Cartoon Network,2016-03-21,Mon,March,male,white,Mpumalanga,Night,Adult 31-64,00:04
1,Trace TV,2016-01-25,Mon,January,male,black,Northern Cape,Night,Adult 31-64,00:04
1,Trace TV,2016-03-26,Sat,March,male,black,Mpumalanga,Night,Young Adult 19-30,00:06
1,ICC Cricket World Cup 2011,2016-03-11,Fri,March,male,indian_asian,Gauteng,Night,ELDER +65,00:06
1,M-Net,2016-03-01,Tue,March,None,None,None,Night,Infant,00:00
2,Africa Magic,2016-01-19,Tue,January,male,black,Mpumalanga,Night,Adult 31-64,00:02
2,ICC Cricket World Cup 2011,2016-03-07,Mon,March,male,white,Western Cape,Night,Adult 31-64,00:27
1,SuperSport Blitz,2016-02-16,Tue,February,male,coloured,Western Cape,Night,Young Adult 19-30,00:05
1,ICC Cricket World Cup 2011,2016-03-12,Sat,March,female,coloured,Western Cape,Night,Young Adult 19-30,02:09
1,Supersport Live Events,2016-01-28,Thu,January,male,black,North West,Night,Adult 31-64,00:39
1,Trace TV,2016-01-22,Fri,January,female,black,Western Cape,Night,Adult 31-64,00:00
2,Supersport Live Events,2016-03-06,Sun,March,male,black,Kwazulu Natal,Night,Young Adult 19-30,00:04
3,SuperSport Blitz,2016-03-05,Sat,March,male,coloured,Western Cape,Night,Adult 31-64,02:15
1,Trace TV,2016-03-20,Sun,March,None,None,None,Night,Infant,00:00
1,DStv Events 1,2016-03-02,Wed,March,male,white,Gauteng,Night,Young Adult 19-30,00:00
2,Trace TV,2016-03-06,Sun,March,male,coloured,Western Cape,Night,Adult 31-64,00:04
1,Vuzu,2016-02-20,Sat,February,male,coloured,Northern Cape,Night,Young Adult 19-30,00:00
1,Channel O,2016-03-20,Sun,March,male,black,Eastern Cape,Night,Young Adult 19-30,00:28
1,E! Entertainment,2016-01-29,Fri,January,male,coloured,Western Cape,Night,Adult 31-64,00:00
1,Channel O,2016-03-04,Fri,March,male,black,Western Cape,Night,Adult 31-64,00:02
2,Supersport Live Events,2016-03-07,Mon,March,male,coloured,Western Cape,Night,Adult 31-64,00:01
5,ICC Cricket World Cup 2011,2016-02-24,Wed,February,male,coloured,Western Cape,Night,Young Adult 19-30,00:21
1,Supersport Live Events,2016-03-26,Sat,March,male,white,Western Cape,Night,Adult 31-64,00:03
1,ICC Cricket World Cup 2011,2016-02-20,Sat,February,male,white,Gauteng,Night,Adult 31-64,00:19
1,Cartoon Network,2016-03-05,Sat,March,female,coloured,Eastern Cape,Night,Young Adult 19-30,00:06
1,E! Entertainment,2016-01-10,Sun,January,male,None,Western Cape,Night,Young Adult 19-30,00:00
1,Cartoon Network,2016-01-24,Sun,January,male,black,Gauteng,Night,Adult 31-64,01:01
1,ICC Cricket World Cup 2011,2016-03-30,Wed,March,male,black,Western Cape,Night,Adult 31-64,00:40
4,Supersport Live Events,2016-03-04,Fri,March,male,coloured,Western Cape,Night,Adult 31-64,00:17
1,DStv Events 1,2016-01-06,Wed,January,male,black,Kwazulu Natal,Night,Adult 31-64,00:01
1,CNN,2016-03-29,Tue,March,male,indian_asian,Kwazulu Natal,Night,Adult 31-64,00:06
1,Cartoon Network,2016-03-19,Sat,March,male,indian_asian,Gauteng,Night,Youth 13-18,00:00
1,Boomerang,2016-03-23,Wed,March,male,None,Kwazulu Natal,Night,Young Adult 19-30,00:00
1,Trace TV,2016-01-27,Wed,January,male,coloured,Western Cape,Night,Adult 31-64,00:07
2,Boomerang,2016-03-28,Mon,March,male,indian_asian,Gauteng,Night,Young Adult 19-30,00:00
1,DStv Events 1,2016-01-11,Mon,January,male,coloured,Western Cape,Night,Young Adult 19-30,00:03
1,ICC Cricket World Cup 2011,2016-02-27,Sat,February,male,indian_asian,Limpopo,Night,Adult 31-64,00:43
1,Africa Magic,2016-01-15,Fri,January,male,black,Limpopo,Night,Young Adult 19-30,00:00
1,SuperSport Blitz,2016-01-26,Tue,January,female,black,Limpopo,Night,Adult 31-64,00:00
1,Supersport Live Events,2016-02-12,Fri,February,male,None,Northern Cape,Night,Adult 31-64,00:02
1,SawSee,2016-03-28,Mon,March,male,black,Gauteng,Night,Young Adult 19-30,00:04
2,SuperSport Blitz,2016-02-22,Mon,February,male,black,Kwazulu Natal,Night,Adult 31-64,01:03
1,ICC Cricket World Cup 2011,2016-02-22,Mon,February,male,indian_asian,Free State,Night,Adult 31-64,00:00
1,CNN,2016-03-26,Sat,March,male,coloured,Gauteng,Night,Adult 31-64,00:04
1,SuperSport Blitz,2016-02-05,Fri,February,male,black,Gauteng,Night,Adult 31-64,00:00
1,Africa Magic,2016-03-04,Fri,March,male,coloured,Western Cape,Night,Adult 31-64,00:00
2,Africa Magic,2016-02-03,Wed,February,female,black,Gauteng,Night,Adult 31-64,00:41
